rank,name,version,downloads,kind,baseline_build_secs,slicer_build_secs,speedup,status
2435,tantivy-columnar,0.7.0,10629949,lib,74.64,65.93,1.132,both_built
2436,tantivy-sstable,0.7.0,10629756,lib,63.94,129.14,0.495,both_built
2437,const-sha1,0.3.0,10629213,lib,1.63,0.24,6.792,both_built
2438,libp2p-websocket,0.45.1,10624042,lib,148.23,92.56,1.601,both_built
2439,hybrid-array,0.4.11,10621570,lib,19.64,8.02,2.449,both_built
2440,webkit2gtk,2.0.2,10617388,lib,285.38,179.51,1.59,both_built
2441,polars-arrow,0.53.0,10615468,lib,247.72,101.71,2.436,both_built
2442,reqsign,0.20.0,10612254,lib,127.66,113.73,1.122,both_built
2443,polars-core,0.53.0,10575997,,,,,not_run
2444,polars-error,0.53.0,10574248,lib,114.51,30.06,3.809,both_built
2445,libp2p-connection-limits,0.6.0,10570143,lib,132.81,144.1,0.922,both_built
2446,gcd,2.3.0,10555085,lib,1.62,0.27,6.0,both_built
2447,libp2p-allow-block-list,0.6.0,10554610,lib,136.09,186.57,0.729,both_built
2448,sentry-anyhow,0.47.0,10551997,lib,241.48,261.33,0.924,both_built
2449,google-cloud-metadata,0.5.1,10549087,lib,148.09,119.2,1.242,both_built
2450,fixed,1.31.0,10537755,lib,37.28,37.26,1.001,both_built
2451,quick-protobuf-codec,0.3.1,10533085,lib,24.58,36.83,0.667,both_built
2452,javascriptcore-rs-sys,1.1.1,10530177,lib,24.66,40.03,0.616,both_built
2453,spl-token,9.0.0,10522535,,,,,not_run
2454,id3,1.16.4,10502721,lib,7.69,11.74,0.655,both_built
2455,diffy,0.4.2,10501986,lib,5.07,1.93,2.627,both_built
2456,tauri-plugin,2.5.4,10469866,lib,224.0,245.38,0.913,both_built
2457,vswhom,0.1.0,10468691,lib,5.66,3.41,1.66,both_built
2458,serde_default,0.2.0,10467731,lib,57.86,33.34,1.735,both_built
2459,sd-notify,0.5.0,10464812,lib,16.25,6.39,2.543,both_built
2460,rocket_http,0.5.1,10458167,lib,53.91,91.34,0.59,both_built
